info: MF21/FirstInverseColumn.lean:331:0: 'MF21FirstColumn.full_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstInverseColumn.lean:332:0: 'MF21FirstColumn.extreme_left_value' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstInverseColumn.lean:334:0: 'MF21FirstColumn.row_convolution' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstInverseColumn.lean:336:0: 'MF21FirstColumn.toeplitz_mulVec_firstColumn' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstInverseColumn.lean:338:0: 'MF21FirstColumn.firstColumn_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FirstInverseColumn.lean:340:0: 'MF21FirstColumn.inverse_column_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkPhase.lean:242:0: 'MF21Bulk.phaseFactor_re_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkPhase.lean:243:0: 'MF21Bulk.rootPhase_contDiffAt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkPhase.lean:244:0: 'MF21Bulk.phaseFactor_endpoint_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkPhase.lean:245:0: 'MF21Bulk.rootPhase_endpoint_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkPhase.lean:246:0: 'MF21Bulk.rootPhase_endpoint_extension_analytic' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryLeadingTerms.lean:67:0: 'MF21Normalization.maskedBlock_right_det' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryLeadingTerms.lean:68:0: 'MF21Normalization.maskedBlock_swap_det' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ExponentialSums.lean:159:0: 'MF21ExpSums.finite_sum_norm_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantOrdering.lean:145:0: 'MF21Circulant.frequencyOrder_injective' depends on axioms: [propext, Quot.sound]
info: MF21/CirculantOrdering.lean:146:0: 'MF21Circulant.orderedSymbol_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantOrdering.lean:147:0: 'MF21Circulant.descendingEigenvalue_eq_of_charpoly' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantOrdering.lean:148:0: 'MF21Circulant.realCirculant_descending_eigenvalue' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/CirculantOrdering.lean:149:0: 'MF21Circulant.toeplitz_circulant_interlacing' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/LaurentSymbol.lean:49:0: 'MF21Laurent.central_sum_eq_laurent' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/LaurentSymbol.lean:50:0: 'MF21Laurent.geometric_stencil' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDeterminant.lean:336:0: 'MF21Boundary.finite_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDeterminant.lean:337:0: 'MF21Boundary.recurrence_at_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDeterminant.lean:339:0: 'MF21Boundary.eigenvector_iff_boundary_det_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDeterminant.lean:341:0: 'MF21Boundary.boundaryKernelEquivEigenspace' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDeterminant.lean:342:0: 'MF21Boundary.boundaryKernel_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkTotalPhase.lean:129:0: 'MF21Bulk.psi_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkTotalPhase.lean:130:0: 'MF21Bulk.psi_contDiffAt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkTotalPhase.lean:131:0: 'MF21Bulk.psi_endpoint_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkTotalPhase.lean:132:0: 'MF21Bulk.psi_endpoint_neighborhood' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkDecay.lean:187:0: 'MF21Bulk.exists_exp_bound_of_deriv_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkDecay.lean:188:0: 'MF21Bulk.angleRoot_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkDecay.lean:189:0: 'MF21Bulk.stableRoot_angle_exp_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkDecay.lean:190:0: 'MF21Bulk.stableRoot_angle_logDeriv_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryExpansion.lean:90:0: 'MF21Normalization.maskedBlock_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryExpansion.lean:91:0: 'MF21Normalization.blockPower_two_leading_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralBounds.lean:157:0: 'MF21Circulant.toeplitz_eigenvalue_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralBounds.lean:158:0: 'MF21Circulant.toeplitz_eigenvalue_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralBounds.lean:159:0: 'MF21Circulant.scaled_reciprocal_majorant' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralBounds.lean:160:0: 'MF21Circulant.reciprocal_majorant_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralBounds.lean:161:0: 'MF21Circulant.toeplitz_eigenvalue_strict_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundarySpectrum.lean:68:0: 'MF21Boundary.complex_eigenvector_iff_sorted_eigenvalue' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundarySpectrum.lean:69:0: 'MF21Boundary.sorted_eigenvalue_iff_boundary_det_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryPolynomial.lean:28:0: 'MF21Boundary.charPoly_root_iff_laurent' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/DeterminantSimpleKernel.lean:104:0: 'MF21SimpleKernel.hasDerivAt_det' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/DeterminantSimpleKernel.lean:105:0: 'MF21SimpleKernel.kernel_finrank_eq_one_of_simple_det_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/DeterminantSimpleKernel.lean:107:0: 'MF21SimpleKernel.eigenspace_finrank_eq_one_of_simple_boundary_zero' depends on axioms: [propext,
info: MF21/BulkEta.lean:56:0: 'MF21Bulk.eta_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDecay.lean:159:0: 'MF21Normalization.nonleading_has_loss' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryDecay.lean:160:0: 'MF21Normalization.nonleading_product_ratio_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSlopes.lean:254:0: 'MF21Bulk.stable_slope_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSlopes.lean:255:0: 'MF21Bulk.base_slopes_exist' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkSlopes.lean:256:0: 'MF21Bulk.block_slopes_exist' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/Eigenangles.lean:90:0: 'MF21Challenge.exists_unique_eigenangle' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/Eigenangles.lean:91:0: 'MF21Challenge.eigenangle_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/Eigenangles.lean:92:0: 'MF21Challenge.eigenangle_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryDeterminant.lean:60:0: 'MF21ActualBoundary.roots_charPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryDeterminant.lean:61:0: 'MF21ActualBoundary.eigenvector_iff_determinant_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryDeterminant.lean:63:0: 'MF21ActualBoundary.sorted_eigenvalue_iff_determinant_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FiniteTraceObstruction.lean:197:0: 'MF21Audit.finite_head_separation_of_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FiniteTraceObstruction.lean:198:0: 'MF21Audit.finite_head_separation_of_inverse_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FiniteTraceObstruction.lean:199:0: 'MF21Audit.finite_head_separation_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FiniteTraceObstruction.lean:200:0: 'MF21Audit.finite_head_separation_of_finite_inverse_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/FiniteTraceObstruction.lean:201:0: 'MF21Audit.finite_head_scaled_remainder_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryDecay.lean:72:0: 'MF21ActualBoundary.stable_family_exp_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryDecay.lean:73:0: 'MF21ActualBoundary.nonleading_actual_exp_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/QuantizationTaylor.lean:154:0: 'MF21Quantization.model_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/QuantizationTaylor.lean:155:0: 'MF21Quantization.Model.uniform_taylor' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/QuantizationTaylor.lean:156:0: 'MF21Quantization.Model.coefficient_fixed_index_profile' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/QuantizationTaylor.lean:158:0: 'MF21Quantization.Model.d_smooth' depends on axioms: [propext, Classical.choice, Quot.sound]
